playerid,elo
oe:player:e657a3a85d87422def10751fd190b72,2117.4550590066974
oe:player:d6edacf747f35f7e39bc6ae9e012c98,1677.6356428456565
oe:player:b5e77cbbde6e6a5b9a6bce02d7e6383,1955.016403640442
oe:player:1e67202e5b7a75662ea2cbd4561df25,1986.9993995011503
oe:player:263047db41751328681fe015003558d,1885.8381609920234
oe:player:5961b9c45e8cd870020433a870618cd,1858.0576413986437
oe:player:99051f1ade6e937757b3e9e4db60c4c,1886.5096521661667
oe:player:c31d9121946c66a4be31950f016b3a4,1831.2326944962565
oe:player:2238d661c20dc1a5beb5aaa5514f2b5,1864.5973972341676
oe:player:48cf5e2fc2ae01c6b849283b065b583,1772.1844773114522
oe:player:4dc81fef774e0bb63830b7ad287f1bf,1868.19973298166
oe:player:916e632a36540a4df986390c486d02b,1750.425854167923
oe:player:fb3c4974624ca09e4cb5bf47637165e,1663.8548321561407
oe:player:77a3d41e98ffa15d2e4e97d62a10772,1608.6657836975207
oe:player:03e3a7e246b0496bdd16ee5b933fc0d,1612.9272010718755
oe:player:44520ade85036cb4df0e9c33de1a2bd,1939.993870427747
oe:player:6f498a13a526f699d24537582ba0b4a,1915.6779977485703
oe:player:817434295a673aed431435658b65d9a,1896.2319215099794
oe:player:0adcab3b316aa2ec4df93b59b612709,1979.5081703634587
oe:player:3f7ff4daa99912d1b0c8c64340edb9f,1866.1657864541735
oe:player:14cbcf095e72902e80938f6a021a176,1996.2449140487568
oe:player:98c980a76febd0efa3407295d69b244,2047.0536861673258
oe:player:1543270746c53916a42c2f6e6c71604,2051.731510745411
oe:player:582ca45acfd3e21caca8b786c141385,1973.5480019519484
oe:player:efced9552c6030d0beaf318ee62926a,1956.678309902019
oe:player:71fb72e750329576210775b19d912e6,2134.979576964019
oe:player:beea9fe15bff6a7ab0b3913d3d5fde6,2131.798489995899
oe:player:52e418c848e0f05f1ae3d63fb2f806a,2109.023426848389
oe:player:2ba596643cbbbc20318224181fa46b2,2110.867951856774
oe:player:aad3806ef26a116c73b11efa07e9bd8,2072.239098085391
oe:player:a408b9f6a7b5f82bfac03a88e026986,2049.6648362023793
oe:player:e4419464d570c4b497ba1979e790b10,1890.1978638496175
oe:player:4d615befe98372628838afbcb4ec769,1929.609269221837
oe:player:ccb514194174baf8ddf9183ea843100,1962.3111855623704
oe:player:4792ad71dfce44c8d35765c41c07cca,2041.17683630906
oe:player:adf9d4f627b07e1c80f85c1e25f4bb8,2006.5919437787013
oe:player:7b28158d613ea1869441676fa32a3b5,2016.04894263565
oe:player:eb6836a6a01b487ebf63814755b7f4d,2010.10435102222
oe:player:5206560a306a2e085a437fd258eb57c,2005.282257854689
oe:player:ae832e9b5bda2699db45f3fa6aa8c55,1965.409445994744
oe:player:ca42408a2d2bcf371f0014a9d66f9c0,1720.1240840336236
oe:player:ef97b40b2245d3690c745cd6e8c663d,1862.9030404208956
oe:player:3a51d2dae2a4c583a3f70ceed2e17ff,1856.1123767876536
oe:player:6ef4f059bc7362302ad93050e7854b3,2016.7281711885066
oe:player:eead4a0e1ca42500ee379c3ead73cfd,1918.7764573001034
oe:player:1213778b5c6d69dcb26aa89f7d0aaa9,2013.3175986416898
oe:player:0f4317a0c9d88aa9948683815c2ba14,1786.7027819961058
oe:player:0dc2edc1d6634202a971c72891d6265,1768.6037541588385
oe:player:f2a47c6809d88e175dade0ef7b16aa1,2162.9043329442175
oe:player:80a0409a4c898bd100c41af1cca5da1,2118.626281207788
oe:player:6153664a376e0f05f13eea5b80013ff,1949.63197147065
oe:player:f5c0d5ed7af24d3aa55b4666cc4596a,1886.785009172165
oe:player:5d859973609e453b2c48448851e4bfb,1948.9547266257077
oe:player:707db7bba13f08e124e564143ff4aa3,1952.8545167101856
oe:player:9148a2e81dfb2432807b6738829a1b2,2202.3376562171056
oe:player:71e79ef80600d398d90cfebe3b0b758,2085.6352251080475
oe:player:c588a2d07b69ca4ba61c96aebd3f793,2089.6624543801713
oe:player:bda7cc061d7a1576f1dcad33dd505cd,2085.088466000206
oe:player:9e8e950dedd7302d4bcbe4718b13b25,1911.217550254234
oe:player:357742da3f7a2fcec0fcffa840db38c,2120.384126018158
oe:player:7eaba623487d46d2c22fe07755332c9,1893.1386016025367
oe:player:a442058c6da103458f122260082b7bc,2070.0827664476737
oe:player:c9e5dcbfb1a24f3ac0288b151146067,1460.0
oe:player:e08beccbf2fac1f9ba8883db151e66b,2019.7183487737757
oe:player:cafee7267cccef814a0dd4c05afd254,2017.5629642125962
oe:player:73fd5ac9aca9c8627b8e851c99f49c4,1938.459452913715
oe:player:e0ab1daf638c7c5442cc559b2d3ec43,1975.4334130910688
oe:player:9f820219a9712dc03a7ceacbb2d2e18,2009.6717898568634
oe:player:eae234330021a52c3ec6c9fd6fdc753,1990.368816866266
oe:player:59a57d41e6e55c904ef0865e441d4c3,1887.2609250846108
oe:player:1a8b6a662905090813591d4993feefa,2109.0980887628507
oe:player:a10c9f4be1bdbf732bfd640338b4503,1917.0777030031607
oe:player:158c720179ac94f4bbe38b809ff1702,2071.6190671269073
oe:player:22ba039c77c8aeefbe9df63f76050ac,1989.3924151805782
oe:player:73b52fb4de3bf291788e00a0d742dc5,1827.0112449126618
oe:player:b7a96528935de93953af4738b9bd8e0,2082.970228769207
oe:player:6dab7bdeedc19feb646dc6e33100b9f,1825.6392724661168
oe:player:ee5a58b78187701cfcb5ee25b4324c7,2045.2806820232177
oe:player:05bbbf6959f2b7ace12e90d1a58a212,1963.9345139336572
oe:player:a20cb2b91531d5425abb8f38ebb6c99,1972.541330479893
oe:player:ca8a196f97a48b2bb489f3e849a6841,1781.1933043569218
oe:player:c08df9bb5fb44242a6291b1eee5d09a,1814.0672794880466
oe:player:0de81e3ca41d1649ba18c0cf62269b8,1859.4576129005281
oe:player:608c82ab2789c2111892adf8c5733f1,1994.7660654409644
oe:player:a894d54cae10b1d8e4e22877da342d7,1909.6750754389172
oe:player:c5b867b70250ef020bcfd00fdac2953,1886.8926297831485
oe:player:70e4468a0681958e0c34cf3b52ade41,2015.0317373000275
oe:player:339f7789cfdff948d24436601281632,1906.6686297722827
oe:player:092f2ba9f39fbc2876e64d12cd662f7,1974.564139560927
