playerid,elo
oe:player:7b768c15303fa231710167df434b583,1019.7582654395385
oe:player:8ce21631012f107953cb2f1bcf3dad2,1612.8150535002037
oe:player:2807decf1b7a6545e949e8715316c12,1919.2913537369382
oe:player:0908c66a5c361f682282599e75b334f,1927.5793355451817
oe:player:9170917b7452bef889def6c113af150,1737.4012803426529
oe:player:252de481e83ab0bc87aada93aeb424c,1753.0008336773096
oe:player:0634d9e86284da2fae4e1438d564eee,1954.2463553511889
oe:player:5d69aabb447fa09188638716fe549b6,1833.477280316219
oe:player:41f0dede57989f2777d3cfe2dbf6bac,1760.0026194131158
oe:player:9d8f178040611a073608bf5fc51768c,1716.4055243412436
oe:player:0108d7db35e786901358382563a9e47,1820.564522026604
oe:player:9ce0043331f3999cc2ee205ab7c2d73,1842.5767594174042
oe:player:542b1268b090a5fc82442efbd8d8165,1947.5234628262733
oe:player:301c39e207b653e1034144ee16c077f,1830.5355973499695
oe:player:33ec03adce2bef14f100376bc7770b2,1527.0301553701893
oe:player:41c5f02f8439b36ea5d0d37c7b4a2c4,1634.4205150707776
oe:player:dafc6edb9a01b6d96afd03b81a33386,1671.9238489876873
oe:player:49701c0fb3b04ea8d91f366e90ec798,1668.6904645415666
oe:player:65467087a19145f43129bba42781aea,1766.0750183330274
oe:player:7245a636843f38ae56d5862d502a430,1037.525562081841
oe:player:9c8834ac0a7a7aaa66010ded94db1db,851.9235671010596
oe:player:c6c67e6161209c24759f6a71ad6ac9b,1773.4663263352534
oe:player:647116a60606bd44fb11a860da72776,1739.9355121705323
oe:player:17a3d1accbb8bbdaaabfd34e1d69c18,1837.0483724117869
oe:player:5d531a4cf817202fc25eda63906e797,1855.759096734521
oe:player:68128d6a24caee5f69e1d31123cf149,1963.4653629725635
oe:player:55276c10d84e1df7713b441e76e141f,1835.9740326295043
oe:player:57da8dfcfbdb4e5b019fe93003db1c4,1941.655502801825
oe:player:ce76a8fc639b0cc96da48c76bc0bbeb,1995.1520053753936
oe:player:61ea9de879a9b27bb8eddcba7f32f4a,1730.4698496869669
oe:player:127d6ec83484da3c8b39b70c70f1226,1719.2239184473628
oe:player:96d01fc6efab50330a1d4b4dfb5b1a4,1789.8844404569093
oe:player:4f441a2868841d54999744fbf4d01ec,1491.5902399960944
oe:player:90b5929ccb644ca52c504f4376faad3,1794.9814588070187
oe:player:eada4723af6f51cf2391d85b5fde49b,2014.0646476850177
oe:player:f25df399390d86b9a1e83216dae597b,1923.5118471937913
oe:player:9e386d14a64ec4f52aa086bce739956,1665.2253179406755
oe:player:8beab49e4e9623ac0c8908b5836dfaa,1668.8814979275394
oe:player:37b570d988e1cdf1e30b1e5a598a6d0,1789.2444407300334
oe:player:43b4189712f5ac66bbef0414a8ed2db,1780.1303543904228
oe:player:07fb0511053f398d1f2d6831e6a6b4c,1834.5702350682354
oe:player:2ba596643cbbbc20318224181fa46b2,1978.7118909967276
oe:player:d824e1e2a435ff9d8a567b1af0bad2a,1856.7409811800278
oe:player:046cc082e82c608b087457f59598674,1628.762623439245
oe:player:53a722597f9fe835806af2f76fbb3b4,1398.5543156885212
oe:player:3a3cf889f1996110ab52915425d60b5,1799.2481879176942
oe:player:e9615e1074483132750c63fc1137d99,1811.0346156637527
oe:player:f79775d6741febf8f922876d2f5b127,1940.8640627487139
oe:player:6e7908512cb309a43388bb464a312a2,1824.1141432521422
oe:player:bb7e6166b6f9f16e4bedfb33e3ed534,1681.1653348138911
oe:player:2f46cc1658f951bd7b4620a5c10c051,1712.97489744756
oe:player:657e73d55c0adcfeefe2c8beb11fa64,1467.5804003604703
oe:player:148e116847c069d852ad0696d4180fe,1654.0934847062902
oe:player:895b81748441d4b3c8faa7c1b8452dc,1670.858103776828
oe:player:3d910bafad3c588153646f30a098192,1712.711916275383
oe:player:0542d5328f48ec36ec666c8a2f3bdfa,1663.1083543457216
oe:player:3c6323f159761044e110009bc703a40,1781.3174461844371
oe:player:e0c3b0526a8b0ca8604e3bae81876ca,1801.7467467373742
oe:player:b22e5326020f91cc525d187f7c416a3,1682.3306011983448
